"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.04.2025","31,40","31,39","31,67","31,17","12,35M","0,02%"
"31.03.2025","31,39","31,58","31,58","31,07","25,35M","-0,88%"
"28.03.2025","31,67","31,96","32,12","31,45","22,27M","-1,37%"
"27.03.2025","32,11","32,13","32,18","31,94","28,50M","0,12%"
"26.03.2025","32,07","32,53","32,58","31,94","31,86M","-1,08%"
"25.03.2025","32,42","32,28","32,93","32,28","18,99M","0,75%"
"24.03.2025","32,18","32,08","32,32","31,94","31,82M","0,09%"
"21.03.2025","32,15","32,11","32,30","31,98","47,58M","0,22%"
"20.03.2025","32,08","32,33","32,55","31,85","31,16M","-0,93%"
"19.03.2025","32,38","32,50","32,61","32,24","24,63M","0,25%"
"18.03.2025","32,30","32,31","32,59","32,15","29,72M","0,54%"
"17.03.2025","32,13","31,17","32,23","31,14","29,73M","3,00%"
"14.03.2025","31,19","30,36","31,41","30,30","34,79M","3,25%"
"13.03.2025","30,21","29,73","30,30","29,67","31,68M","1,61%"
"12.03.2025","29,73","29,75","29,82","29,46","19,71M","0,30%"
"11.03.2025","29,64","29,95","29,95","29,46","20,35M","-0,87%"
"10.03.2025","29,90","29,50","29,90","29,33","30,43M","0,88%"
"07.03.2025","29,64","29,44","29,93","29,32","22,71M","0,44%"
"06.03.2025","29,51","29,45","29,75","29,28","20,47M","0,20%"
"05.03.2025","29,45","29,46","29,61","29,09","28,55M","1,48%"
"28.02.2025","29,02","29,75","29,90","29,02","38,83M","-2,45%"
"27.02.2025","29,75","29,96","30,09","29,75","22,80M","-0,07%"
"26.02.2025","29,77","30,12","30,15","29,76","23,77M","-0,27%"
"25.02.2025","29,85","29,78","30,11","29,65","28,80M","1,02%"
"24.02.2025","29,55","29,87","29,96","29,37","28,17M","-0,54%"
"21.02.2025","29,71","29,77","29,81","29,57","33,36M","-0,30%"
"20.02.2025","29,80","29,88","30,02","29,67","17,42M","-0,27%"
"19.02.2025","29,88","30,03","30,06","29,76","24,75M","-0,96%"
"18.02.2025","30,17","30,27","30,30","29,86","33,66M","-0,17%"
"17.02.2025","30,22","30,25","30,61","30,22","19,64M","0,23%"
"14.02.2025","30,15","29,57","30,27","29,53","32,56M","2,66%"
"13.02.2025","29,37","29,24","29,40","29,10","14,73M","0,51%"
"12.02.2025","29,22","29,83","30,02","29,08","33,31M","-2,76%"
"11.02.2025","30,05","29,83","30,27","29,83","34,48M","1,04%"
"10.02.2025","29,74","29,54","29,96","29,50","41,44M","1,09%"
"07.02.2025","29,42","29,74","29,89","29,23","38,92M","-0,71%"
"06.02.2025","29,63","28,88","29,83","28,58","42,76M","0,17%"
"05.02.2025","29,58","29,33","29,84","29,27","44,03M","1,51%"
"04.02.2025","29,14","28,97","29,39","28,81","22,48M","0,34%"
